,avg_velocity,std_velocity,total_duration,total_distance,start_date_local
3260394297,2.902708925311165,0.13759804803357478,6176.0,18949.0,20200405
2786171476,2.8895608045509253,0.09342290053272194,12333.0,32320.1,20191013
3002320412,2.5969291162356556,0.05005957674308773,10427.0,25617.7,20200111
2917510658,3.1442657196775348,0.03891467988938341,9187.0,27157.5,20191207
1105474714,3.5691709739101833,0.14649755704430786,1826.0,5927.0,20170728
775925982,3.249234620931278,0.0987321373726631,1776.0,5228.7,20161115
2912775403,3.4356397297321823,0.20977888629056285,2609.0,8487.2,20191205
3251395522,2.8786165728015374,0.31360834875017823,2614.0,7507.9,20200403
1477882251,3.130395483062812,0.06632396353456946,2331.0,6385.7,20180329
2528588289,2.8016520202229187,0.09746554326350637,9183.0,22608.3,20190713
3032123138,3.3483094203394175,0.19343279809112826,2719.0,8755.8,20200121
2544962553,3.2446959745184842,0.0900300406692128,2520.0,7056.6,20190719
1182800735,3.1183000257357714,0.1831657958053135,1981.0,5056.8,20170906
812628020,3.227316161360551,0.23755757153433654,1768.0,5529.4,20161227
1605515558,3.047103241798757,0.0527299249769068,1745.0,4998.3,20180530
2468135264,3.0150533252638634,0.06329253792503144,6360.0,17430.9,20190621
753449683,2.8639755815546697,0.18396102255300079,5724.0,14490.6,20161023
2809582942,3.097271323031737,0.10406780676239581,3287.0,9467.2,20191022
2747622579,2.7556383069833768,0.10821957771897558,11595.0,27754.6,20190928
2650669226,2.6343958269515966,0.07008105096621824,2385.0,6386.6,20190825
1201803062,2.871899732047791,0.0987656691092694,3099.0,8076.4,20170925
2753104046,3.559826592362658,0.21418666834362154,2345.0,7914.1,20190930
2694707314,3.2660876820969964,0.12062372601293171,2732.0,8241.7,20190909
2425369930,3.2580294227436317,0.03150548351058729,1664.0,4859.2,20190605
2884073029,3.76192809100106,0.20679081141546574,2635.0,8235.3,20191122
2865398751,3.160921293465339,0.07923703135031385,3116.0,8973.9,20191114
2405035423,2.2893476545690556,0.08074037867209254,2232.0,5086.1,20190518
3488482039,3.108394548115832,0.18445505113773694,2441.0,7331.0,20200521
1426900197,3.3041180715352025,0.11843798885759789,1361.0,4063.7,20180226
2858539078,3.300527834879648,0.1773862544000577,2767.0,8143.5,20191111
2667460872,2.8153975551747865,0.019371064692605758,4587.0,11463.9,20190827
2677690164,2.8471349898022225,0.07922242109122311,2417.0,6138.4,20190903
810384343,3.192237886581649,0.10723916590588836,4468.0,12354.1,20161224
2178111177,3.201242817469963,0.11801922285786257,2639.0,7893.2,20190226
2945622890,3.067377629756576,0.06953540955092,3348.0,9354.9,20191220
2186836434,2.784172496587348,0.03158402174570273,3038.0,7919.2,20190302
3026007969,2.727131928025674,0.08924712762324201,10007.0,25270.6,20200119
2688202159,2.939252366673465,0.03582793181692688,8800.0,22711.1,20190907
2232556509,3.085488156042173,0.10263110075087718,2166.0,5842.8,20190322
3075376488,3.378804689861965,0.1014789439391518,3127.0,9604.1,20200205
3233131051,2.6924753208400443,0.3766192762647622,3265.0,9398.3,20200329
1851814493,3.0884892676601385,0.09072942011205525,1952.0,5345.8,20180919
2342160471,3.052542881451628,0.10414952662188079,2348.0,6291.8,20190504
2824638877,3.346808674361944,0.0637665481451468,1982.0,5618.5,20191028
2521867376,2.8395762267301343,0.0825562679222758,3912.0,10215.9,20190710
3020293114,3.2377810176341413,0.26232931752616023,2675.0,7686.1,20200117
2499377768,3.0222498244651668,0.06626139948628408,3306.0,9036.2,20190702
2927264723,3.242844821344028,0.07257366007716429,3934.0,11495.7,20191211
2070069966,3.284698182823666,0.1474080296245141,2905.0,8422.8,20190110
693963033,3.286033765991526,0.07990693631449516,2178.0,6520.4,20160830
1630505288,2.949384028597418,0.07257446705531893,4203.0,11077.0,20180610
2683273937,3.3983965857575935,0.2650462674653568,4078.0,11818.9,20190905
3418168863,2.619638882658437,0.3219793832541368,4078.0,11647.9,20200508
2799125287,2.959910407060671,0.12624129193586825,5011.0,11604.1,20191018
1887794660,3.1155328926075074,0.14196042666925424,3182.0,8342.4,20181006
1569215162,3.5699610772903005,0.043123027315231266,1378.0,4153.2,20180508
663330000,3.5030445906463643,0.11382586682081602,2053.0,7142.2,20160803
2191675938,3.217696437149772,0.12511709565392062,2616.0,7049.9,20190304
2947649818,2.8200704750850565,0.03433997164787491,3230.0,8568.3,20191221
2563245081,3.171126830421613,0.13341663868347906,4375.0,11550.0,20190725
3240233957,2.685239598779665,0.1285430399073712,3033.0,8459.8,20200331
2772193519,3.0422537393049756,0.14080547974386487,4323.0,12555.9,20191008
1471312831,3.2229221011636495,0.1924350609982624,3503.0,9794.8,20180325
2272749824,2.767491439056955,0.09668534472096574,5685.0,14557.0,20190407
1193720298,3.1406896255244687,0.04297082188421499,1972.0,5356.1,20170916
3327957932,2.932866577226865,0.1732753994194717,3157.0,9703.4,20200420
1290452038,3.3459811157423265,0.06238564125805455,2656.0,7959.4,20171125
2419937699,2.9393957200459195,0.062199682724176704,3187.0,8318.2,20190603
2997174641,3.6554009752122854,0.23282713973308575,2592.0,8319.7,20200109
2940845726,3.3241274521695257,0.19993071326073678,2220.0,6974.7,20191218
1182865214,3.3721905785425657,0.1764201940012864,3363.0,9970.9,20170913
2830649343,3.1187793279090084,0.025274994937006197,1605.0,4676.2,20191031
773080386,2.772519267072478,0.07762183093589745,4017.0,9896.3,20161112
1214038515,3.4791568519057945,0.304411282332075,2828.0,9171.6,20171003
3055044116,2.84962188931704,0.1433590821634822,3585.0,8726.5,20200129
1711972812,3.339262741591143,0.11289666650550405,3719.0,10600.8,20180718
3137581262,2.8753445604935766,0.24980907788037554,2770.0,8203.6,20200227
1454190219,3.0816070691377484,0.24376782440125214,1310.0,3524.2,20180315
1647346484,3.524066558151508,0.10049280825216866,1775.0,5853.7,20180618
2780244913,3.0196917878145704,0.14732542116637073,3542.0,9923.3,20191011
2023238657,3.359338520526347,0.033019293976167076,2254.0,6646.3,20181218
1725643779,3.141070560473631,0.10432778950254686,2529.0,6418.5,20180724
2428072773,3.0404946432930844,0.10055321527503881,2493.0,6564.4,20190606
661626898,3.341759211281939,0.1272775278662113,2426.0,6620.8,20160802
785262985,3.038207599528259,0.19440879226424473,3702.0,9783.0,20161125
2211784291,2.908748409704497,0.05346616992036858,2270.0,6208.4,20190313
807799766,3.381668619940564,0.08449977894328731,1656.0,5050.9,20161221
1723368384,3.110952021411744,0.04113400196225651,2247.0,6577.9,20180723
2065536799,2.891831857206036,0.10480851764642884,1977.0,5012.3,20190108
1124218966,3.4147776888207257,0.27597211096814644,3006.0,10110.1,20170808
748645867,3.1883084473745793,0.08758225997391418,2214.0,6496.7,20161018
2411398202,3.197971905151478,0.26165829684105213,2044.0,4963.0,20190531
823678856,3.079601987603261,0.18773762850830933,2868.0,6801.9,20170107
2355076206,3.0987200460110906,0.04584959056851623,1715.0,4844.7,20190509
2449028627,3.23329700340017,0.04745007444785396,1182.0,3607.8,20190614
3207478127,2.7579223327424724,0.10094678465369529,3368.0,9234.1,20200322
3384789971,2.577467303713666,0.07191882761106529,1871.0,4773.3,20200502
1714314302,3.130822182860713,0.11063186451558793,1878.0,5401.6,20180719
2886361702,3.1076933777947446,0.03986132715578406,5870.0,16684.8,20191123
791999133,3.150407933227804,0.21743892809943494,4114.0,11023.6,20161203
2278236720,3.447220953561596,0.16584224921313664,2323.0,7325.4,20190409
1201689655,3.0756270654963047,0.07096178298109647,2794.0,7452.0,20170923
2477955551,3.063502869939509,0.05813172720300756,2343.0,6688.6,20190624
2112237112,3.172584017170193,0.037397653004605944,1658.0,4617.2,20190129
1897875075,2.9098654283958494,0.10939389271988978,1625.0,4278.2,20181011
1102237659,3.5108964328185635,0.18043041601589063,1689.0,5627.6,20170726
2985402907,2.584230010943858,0.06458300692734194,7698.0,19515.8,20200105
1095758756,3.3474148537263417,0.26512282557636496,1592.0,4557.7,20170722
2742556261,2.682981339770744,0.05270086814094497,3429.0,8133.7,20190926
3052288824,2.6408425564313704,0.028446887152635065,3860.0,9450.5,20200128
1868747710,3.3140282153900826,0.08286173344842747,1713.0,4964.9,20180923
1591971107,3.42303798723907,0.08843009406606353,1747.0,5342.7,20180523
3078157636,2.8034086734663477,0.08090418313267851,3693.0,9364.9,20200206
2877411445,3.450365902754413,0.17499048761418243,2515.0,7493.1,20191119
1141531534,3.072065334863993,0.14238366859257134,3374.0,9300.1,20170819
3286235452,2.878204136044033,0.05857416730332651,4779.0,13733.8,20200411
2347587655,3.404782834098477,0.04006330228428651,1644.0,5073.0,20190506
3092091102,3.012291585591929,0.13723937231122335,3657.0,9690.6,20200211
2922839098,2.987247445793198,0.04353811569831583,3195.0,8554.8,20191209
2994476518,2.862255524045323,0.04608945599418488,4886.0,11813.8,20200108
1601632312,3.4603245648383476,0.11569848157886163,1504.0,4049.0,20180526
2250407100,3.0362083871742076,0.043766431354800996,2421.0,6424.0,20190329
1699572934,3.116974427379998,0.09109147810481277,1657.0,4299.5,20180713
2852965024,3.384563705281887,0.0781243428533616,3300.0,10002.1,20191109
1539139531,2.545683372334777,0.2691304940591824,4251.0,10680.3,20180429
3132419578,2.3744040548799017,0.10056437761371402,2051.0,4851.9,20200225
2405035428,3.0349485321490306,0.13689904409254489,1942.0,5090.5,20190528
1573321278,2.5382079823476396,0.5412168417546306,3103.0,6946.9,20180513
2968886396,3.001590282458817,0.1051817331832461,3348.0,9240.3,20191230
2776326526,3.6849483708387325,0.2056403177748143,2303.0,7976.6,20191009
2739940018,3.1430273250798946,0.034272672202299244,4121.0,11490.7,20190925
2758306304,3.1825958667820595,0.10829504158205203,3018.0,9625.5,20191002
2814557591,2.672694501177308,0.08358410630702633,2222.0,5370.7,20191024
755571466,3.4149354393321807,0.28649548324440505,2358.0,6435.2,20161025
762459106,3.3069791245768667,0.11021466213093928,1728.0,4966.6,20161101
1084394424,3.163220228943578,0.054021796216665606,4645.0,12274.3,20170715
2535401969,2.9889818802374304,0.07650579744525761,2838.0,7299.8,20190715
3281489837,2.8858614777294385,0.30284966411281156,4255.0,12454.2,20200410
1717295363,2.8516166265170284,0.16110936904484074,7475.0,20181.5,20180721
751193593,3.2651845954683605,0.1846636564175602,2901.0,9257.5,20161021
1601767436,3.0976309192046347,0.08284470862577438,3799.0,10530.8,20180528
799493089,2.8507893857157462,0.12263750944749938,3873.0,9779.0,20161211
2872570081,3.4378569032054935,0.1155237607600426,1251.0,3696.0,20191117
2486102096,3.2917664864395926,0.055456602453660436,1621.0,4816.5,20190627
3439757802,3.6134725247948967,0.19523456234072128,2565.0,8483.2,20200512
2290090186,3.083581095864898,0.04755043329092665,1458.0,3748.5,20190414
2331725990,3.3892048704499596,0.07088298651845493,1466.0,4345.4,20190421
3035101862,3.1288586806066876,0.14447491605016655,3759.0,10413.1,20200122
3011901426,3.2885489142132,0.1841773363814454,2694.0,8141.2,20200114
1701752923,2.7658892063878824,0.06009432581408261,4563.0,11238.0,20180714
2790526121,3.435667554719123,0.27310596102865653,2542.0,8476.3,20191015
2541348117,3.0646262282392427,0.11922586109190123,3959.0,11100.9,20190717
2225824901,3.1600860425140826,0.07631788798549946,1735.0,5150.3,20190319
1542656667,3.2667743034154864,0.09444604513000068,1776.0,4842.7,20180501
1916963083,2.8977486637483474,0.08848953815734864,1976.0,5168.8,20181020
1166343747,2.8272616444595338,0.07385997242494971,2346.0,6146.5,20170826
782392378,3.6100927093391366,0.7133554207223384,2142.0,6358.6,20161122
3063424192,2.5381998014549283,0.04395854409297649,11909.0,28594.7,20200201
2559010701,2.981972489105632,0.10121463064273802,3055.0,8322.2,20190724
3192580820,2.2012105827643764,0.3183520175983833,2043.0,4914.0,20200317
1662231875,2.955363403347607,0.033815121794049365,3198.0,8511.5,20180625
2459867262,3.362635079685721,0.10025694302402412,1677.0,5095.1,20190618
2703435029,3.1361285502861276,0.03409539152637031,1848.0,5399.6,20190912
2207304538,2.733688327481919,0.06195862822665865,2457.0,5810.1,20190311
3309091268,2.7711590173505622,0.06701066577914884,6036.0,16470.8,20200416
814952015,3.401360570920698,0.09259370808169465,2506.0,7015.7,20161229
1431244919,3.2000908980823617,0.17619523316815888,1311.0,3888.6,20180301
1895043880,3.2372635206284923,0.28541301857721535,3213.0,9042.5,20181009
1883395274,3.0651785695701554,0.04664103649266883,1489.0,3666.5,20181004
3142569715,2.695834872442206,0.045246636852211565,5649.0,15167.6,20200229
1692175105,3.007480449299008,0.07279163125268198,2443.0,6223.7,20180709
794837734,3.6536689010229457,0.38113790281395094,1841.0,5765.9,20161206
1868796738,2.989083134262076,0.058553621256865,1630.0,4294.5,20180927
3009067241,2.912750507870333,0.13908939824099217,5178.0,13360.1,20200113
2722083331,2.9800513280918137,0.07822404243195147,4882.0,13246.2,20190919
743322109,3.234480020693427,0.10659288290744076,2275.0,6753.6,20161013
3295205672,2.169452886196713,0.4216777355650616,2744.0,7617.8,20200413
2524543046,3.4784130319641218,0.1668739625896785,1550.0,4802.3,20190711
3069420225,2.9642983317799736,0.041336979575553046,3514.0,9706.6,20200203
816889961,3.5204996599606875,0.5477313566120771,3716.0,10672.6,20161231
1940329018,2.8581991790392367,0.05927702062653572,1982.0,5059.3,20181101
3299549811,3.0965831910224773,0.4045594680965522,4242.0,13801.1,20200414
801938698,3.4203955066513565,0.3474778663962234,1769.0,4991.0,20161214
1201689712,3.3952403650547587,0.4016129259892257,3786.0,9014.7,20170920
3046213937,2.676126298610859,0.12538005809351874,9620.0,23630.0,20200126
2464350033,3.3303465940056833,0.14480173457295867,2743.0,8052.6,20190619
1467182243,3.4660967475372586,0.14851470130426425,1848.0,5068.6,20180323
1685283837,3.529486334769063,0.11430459075869498,1620.0,5100.0,20180706
3105924008,2.6498492009751415,0.11037038060264558,13660.0,31704.5,20200216
1288815736,3.273822354940736,0.04465853912906679,2566.0,7616.2,20171124
1265060661,3.1605699773162548,0.04796090769411372,1622.0,4355.5,20171107
2731578238,2.615545576381554,0.039759323062164446,10885.0,25730.2,20190922
2803853272,2.8918518579019827,0.06468302152374199,8275.0,22209.0,20191020
1124154012,3.1345313064923963,0.17298581372200905,2203.0,5852.3,20170802
771328115,3.259074743876453,0.10975609161243252,1671.0,4766.5,20161110
2181418109,2.987084231742747,0.06791181452404628,1876.0,4617.9,20190228
2717865060,3.084322532802078,0.14743693413152603,2727.0,8066.8,20190917
2569953839,3.029733179145211,0.09405842945421329,10085.0,26144.0,20190728
2350262652,3.3087688447360226,0.07065882879466523,1889.0,5585.6,20190507
2875053211,3.205604906569965,0.0393820755120086,3223.0,9568.0,20191118
2442840496,2.8583058928221154,0.10347920297509444,1895.0,4865.3,20190611
1875339198,2.805733300558108,0.073611086181835,1940.0,4960.9,20180930
3102760368,2.9029685670800145,0.18982969191555826,3206.0,8883.9,20200215
2430609201,3.1702312108043995,0.0749448473189725,1575.0,4599.1,20190607
2818596070,2.753201362933914,0.06778156003041624,5720.0,13932.3,20191026
3356861687,3.282547075935771,0.29446743087164784,6928.0,25557.8,20200426
2711834714,2.664825348108236,0.03071074227472743,10692.0,24822.4,20190915
2667460636,2.8858243169073834,0.04721363752870603,3063.0,8352.9,20190829
742641621,3.13854358200927,0.18827584947107984,1649.0,4882.7,20161012
2554844353,3.113603202827563,0.08346115271141584,1557.0,4595.0,20190722
2331725992,3.2882405588298393,0.056051814358766834,1478.0,4158.5,20190430
2447869236,3.409429320166122,0.10569285357900814,2813.0,8620.3,20190613
2935577436,2.82754431889919,0.050281521156860055,8577.0,22419.1,20191215
1218456368,3.249577838672823,0.06941327423442117,1632.0,4798.1,20171006
1166343769,2.9176432935350882,0.21254971008813978,3037.0,7289.5,20170903
2963377623,2.9603188420146176,0.062077409278787306,3091.0,8216.4,20191228
2161449175,3.063024247859783,0.12470310658953117,2815.0,7949.2,20190219
3112130109,2.8853610799011222,0.35628047364900634,3012.0,9237.3,20200218
3125757078,3.25365986514602,0.05910724437959359,6573.0,21321.2,20200223
2219911818,3.039597439485177,0.1349470101864309,4591.0,12045.5,20190317
1488858229,3.7774088600241247,0.0608421755292942,1923.0,6064.1,20180404
2667461112,2.9179792410015852,0.05777780414963057,7409.0,19740.6,20190831
2595501717,2.7065826403198794,0.061431349792560014,2025.0,5372.0,20190806
2503607378,2.8965200782039457,0.03103015440580598,3860.0,10254.3,20190704
2515950824,3.2897465175132914,0.1929717869585386,2547.0,7786.0,20190708
833957652,2.95021273403688,0.08335391313276605,4004.0,9919.3,20170116
828357668,3.263087804901619,0.13137305709334735,2280.0,6661.8,20170111
3409806889,2.591124065643917,0.341246163037898,3532.0,9714.5,20200506
3152063953,2.6754291457495407,0.1197657318837611,1467.0,4091.9,20200303
2337389544,2.919448678503608,0.059364187415411745,2249.0,5832.7,20190502
759257334,2.8605736901637555,0.09523983777394698,6692.0,16829.0,20161029
2622606192,3.074084131547372,0.1725911878911898,2485.0,3366.5,20190815
3094931571,2.9719298635607863,0.23646281018631946,4925.0,11948.3,20200212
3057967539,2.8702029253827184,0.07233414940016582,4657.0,11728.0,20200130
3243973893,2.9096439996672947,0.053859721635145776,3203.0,9462.8,20200401
1462284263,3.496776066149025,0.11552487408302414,2082.0,6074.6,20180320
1588457749,3.2239040922911246,0.12857091409752613,1677.0,4283.0,20180522
2483383134,3.2388245218377776,0.14425694227892566,2662.0,7705.3,20190626
3115124233,2.796705221583235,0.1965551800204187,3799.0,10148.0,20200219
1288815707,3.304340010396243,0.09972570678717484,1671.0,4743.9,20171121
3268433389,2.6084486490656795,0.06321772745711537,3515.0,9138.6,20200407
3454416748,3.0778209736761535,0.05093382053133392,3051.0,9170.7,20200515
3376742959,2.8488917955062827,0.11195711147290677,3365.0,9876.8,20200430
1435973452,2.326539788545148,0.5859611180781803,2879.0,5724.6,20180304
669675724,3.3963676652169603,0.15315970521767402,1807.0,4980.4,20160809
2492638171,3.0451916471786453,0.16272469358336286,8113.0,19969.6,20190630
2850743530,3.290057577991658,0.08653911341027723,1720.0,5176.8,20191108
3083741433,2.7646260979944284,0.09155057312922381,12108.0,29678.2,20200208
1529788730,3.0977327455184356,0.09369181784495796,1700.0,4492.2,20180424
1920506469,3.162064640355926,0.08197803170616862,1685.0,4414.3,20181022
2360085332,2.9673087820962296,0.05237498959554999,3151.0,8586.9,20190511
2761785220,3.0142974174933963,0.09003220864239223,4559.0,12486.7,20191004
780942662,2.8188614857167775,0.10822497076471554,3690.0,9562.0,20161120
821911093,3.3413379244741956,0.17728779156503438,1852.0,5710.7,20170105
2263316599,3.2162733720152916,0.0788094698343148,2158.0,6281.1,20190403
2550574440,3.4214118244379543,0.15579383016225629,6847.0,18136.4,20190721
2370986533,2.8703029882643105,0.03515543539418662,1410.0,4003.5,20190516
2258404952,3.1119477789960985,0.19428379868268625,1645.0,4433.3,20190401
3198668381,2.314627727094554,0.5416960582587271,1813.0,4818.3,20200319
3037735016,2.698463167646599,0.0795477243890111,5363.0,12983.3,20200123
1166343779,3.120852493624024,0.04911329741039741,2851.0,7792.7,20170823
2976895941,2.864493415189006,0.04039424309253643,3568.0,9164.9,20200102
2565632156,3.088889580571696,0.14428056312322718,1798.0,4896.2,20190726
2509119845,3.048631775846996,0.11215115611326777,8715.0,22568.1,20190706
2735742381,3.4894854242549593,0.18836435600109025,2558.0,8240.4,20190924
1166343738,3.047170816062964,0.07704298574416618,1847.0,4947.0,20170830
2496420976,3.007733352163192,0.08170167963429438,2036.0,5384.7,20190701
2456047195,3.153449827391526,0.13206936925878612,4610.0,12866.5,20190616
1584620265,3.1748577233414093,0.11962766806286702,2237.0,5633.3,20180520
1573321211,3.3386609579045157,0.15818036464024146,2045.0,6019.7,20180515
2575350275,3.5258229815727713,0.10299196664100997,2505.0,8207.3,20190730
2238656650,2.8498193896319437,0.035535236210113716,5896.0,14667.7,20190324
1274793916,3.4200683028487155,0.1538719043303379,1495.0,4363.9,20171114
1483920986,3.048170102399995,0.11892234166248165,3354.0,9220.8,20180401
2474262243,2.884666262406805,0.06054769040335504,2757.0,7077.6,20190623
2794546716,3.2231247080578624,0.09851721666226743,3373.0,9693.5,20191016
2725690286,3.2189218298262503,0.09093694597282745,2563.0,7075.0,20190920
3272943155,2.8303739196644018,0.16890031682544418,4027.0,11473.0,20200408
2768563816,2.8953101153831193,0.04244461877769272,11233.0,30565.8,20191006
1947320720,3.0350444830369425,0.08750959313833978,2233.0,5954.4,20181105
